,month_year,total_vaccinations,total_deaths
0,2020-12,1101014.0,1490500.0
1,2021-01,305371429.0,14260154.0
2,2021-02,1045966282.0,16849156.0
3,2021-03,2551185175.0,23176605.0
4,2021-04,4730082482.0,26473168.0
5,2021-05,8248446407.0,29909978.0
6,2021-06,11604387333.0,29583744.0
7,2021-07,15780349064.0,30817986.0
8,2021-08,19095424415.0,32213928.0
9,2021-09,20109023159.0,31935656.0
10,2021-10,21248706482.0,32831336.0
11,2021-11,23348176223.0,36015603.0
12,2021-12,27232074453.0,39744081.0
13,2022-01,30722254710.0,42034071.0
14,2022-02,28565376811.0,37989932.0
15,2022-03,30593010734.0,41285511.0
16,2022-04,28308679738.0,37552356.0
17,2022-05,29007706596.0,38406388.0
18,2022-06,28240529756.0,36839267.0
19,2022-07,27834137791.0,34795890.0
20,2022-08,29116614903.0,37611163.0
21,2022-09,24368784229.0,31435959.0
22,2022-10,23920488147.0,30332423.0
23,2022-11,5839713119.0,7259957.0
